title,artist,plays,days...
Heat Waves,Glass Animals,8,2025-03-13,2025-03-26,2025-03-27
Stay,The Kid LAROI & Justin Bieber,4,2025-03-26
Bad Habits,Ed Sheeran,4,2025-02-05,2025-02-12,2025-02-19
Ghost,Justin Bieber,3,2025-02-12,2025-03-12
Breakaway,Kelly Clarkson,5,2025-02-12,2025-02-19,2025-02-26
Whoomp! (There It Is),Tag Team,4,2025-02-19,2025-02-26,2025-03-19
Need To Know,Doja Cat,6,2025-03-26
She Will Be Loved,Maroon 5,8,2025-03-26
It's The Most Wonderful Time Of The Year,Andy Williams,3,2025-01-01,2025-01-07,2025-01-08
Fancy Like,Walker Hayes,4,2025-01-01,2025-01-08,2025-01-15,2025-01-22
A Holly Jolly Christmas,Burl Ives,4,2025-01-01,2025-01-04,2025-01-07,2025-01-07
Let Me Love You,Mario,2,2025-01-01,2025-01-08
Boulevard Of Broken Dreams,Green Day,6,2025-03-26
Down Under,Men At Work,2,2025-01-01,2025-01-22
Shame On The Moon,Bob Seger & The Silver Bullet Band,8,2025-03-26
Taste Of Honey,Herb Alpert & The Tijuana Brass,1,2025-01-01
Let's Stay Together,Al Green,3,2025-02-26,2025-03-11
I Knew I Loved You,Savage Garden,7,2025-03-11,2025-03-25,2025-04-01
Do You Really Want To Hurt Me,Culture Club,7,2025-03-26
Mickey,Toni Basil,5,2025-02-12,2025-02-26
You Don't Have To Be A Star (To Be In My Show),"Marilyn McCoo & Billy Davis, Jr.",7,2025-02-05,2025-02-19,2025-03-05
"Evergreen (Love Theme From ""A Star Is Born"")",Barbra Streisand,3,2025-01-01,2025-01-08,2025-01-22
Feliz Navidad,Jose Feliciano,4,2025-01-01,2025-01-04,2025-01-04,2025-01-08
Say My Name,Destiny's Child,8,2025-03-11,2025-03-18,2025-03-25
Five O'Clock World,The Vogues,4,2025-02-19
Without You,Nilsson,7,2025-03-11,2025-03-18
Grenade,Bruno Mars,4,2025-03-26
Maneater,Daryl Hall John Oates,6,2025-03-19
You Make Me Feel Like Dancing,Leo Sayer,6,2025-03-12
Tonight's The Night (Gonna Be Alright),Rod Stewart,3,2025-02-19
Easy On Me,Adele,5,2025-03-05,2025-03-19
Sleigh Ride,The Ronettes,1,2025-01-01
The Power Of Love,Celine Dion,8,2025-03-19,2025-03-26
Please Forgive Me,Bryan Adams,6,2025-03-26
My Boo,Usher And Alicia Keys,4,2025-01-01,2025-01-15,2025-01-22,2025-01-29
Africa,Toto,7,2025-03-19
Torn Between Two Lovers,Mary Macgregor,8,2025-03-12,2025-03-26
Hungry Like The Wolf,Duran Duran,5,2025-02-05,2025-02-19,2025-02-26
Disco Duck (Part I),Rick Dees & His Cast Of Idiots,4,2025-01-01,2025-01-08,2025-01-15,2025-01-29
Over And Over,The Dave Clark Five,3,2025-01-01,2025-01-15,2025-01-22
This Kiss,Faith Hill,2,2025-01-02,2025-01-30
Trap Queen,Fetty Wap,5,2025-03-14
Go Crazy,Chris Brown & Young Thug,6,2025-03-06,2025-03-13,2025-03-27
"Hey, Soul Sister",Train,7,2025-03-13,2025-03-27
Mood,24kGoldn Featuring iann dior,6,2025-03-13
The Hills,The Weeknd,5,2025-03-26
North To Alaska,Johnny Horton,3,2025-01-02,2025-01-09,2025-01-30
Exodus,Ferrante & Teicher,6,2025-03-20
TiK ToK,Ke$ha,4,2025-02-27,2025-03-27
Stressed Out,twenty one pilots,3,2025-02-06
...Baby One More Time,Britney Spears,5,2025-02-13,2025-02-20,2025-02-27
"End Of The Road (From ""Boomerang"")",Boyz II Men,2,2025-01-02,2025-01-16
See You Again,Wiz Khalifa Featuring Charlie Puth,4,2025-02-13
