artist,genres...
DJ Khaled Featuring Future & Lil Baby,"['hip hop', 'miami hip hop', 'pop rap', 'rap']"
Karol G x Maldy,"['reggaeton', 'reggaeton colombiano', 'urbano latino']"
DJ Khaled Featuring Kanye West & Eminem,['']
DJ Khaled Featuring Juice WRLD,"['hip hop', 'miami hip hop', 'pop rap', 'rap']"
"DJ Khaled Featuring Lil Durk, 21 Savage & Roddy Ricch","['hip hop', 'miami hip hop', 'pop rap', 'rap']"
DJ Khaled Featuring Quavo & Takeoff,"['hip hop', 'miami hip hop', 'pop rap', 'rap']"
JVKE,"['modern indie pop', 'pov: indie', 'singer-songwriter pop']"
DJ Khaled Featuring Nardo Wick & Kodak Black,"['hip hop', 'miami hip hop', 'pop rap', 'rap']"
DJ Khaled Featuring Drake,"['hip hop', 'miami hip hop', 'pop rap', 'rap']"
David Guetta & Bebe Rexha,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']"
DJ Khaled Featuring Don Toliver & Travis Scott,"['hip hop', 'miami hip hop', 'pop rap', 'rap']"
HARDY Featuring Lainey Wilson,"['contemporary country', 'modern country pop']"
d4vd,"['bedroom pop', 'bedroom r&b']"
Rema & Selena Gomez,"['afrobeats', 'nigerian pop']"
Armani White,['indie hip hop']
Romeo Santos & Justin Timberlake,"['bachata', 'latin hip hop', 'latin pop', 'trap latino', 'urbano latino']"
Kane Brown With Katelyn Brown,"['black americana', 'contemporary country', 'country', 'country road']"
Yeat Featuring Lil Uzi Vert,"['pluggnb', 'rage rap']"
Ghost,"['hard rock', 'metal']"
Omar Apollo,"['bedroom pop', 'bedroom soul']"
Little Big Town,"['contemporary country', 'country', 'country dawn', 'country road']"
BLEU & Nicki Minaj,['']
EST Gee Featuring Jack Harlow,"['kentucky hip hop', 'memphis hip hop', 'southern hip hop', 'trap']"
Sam Smith & Kim Petras,"['pop', 'uk pop']"
GloRilla & Cardi B,['southern hip hop']
AJR,['pov: indie']
Grupo Frontera,['musica chihuahuense']
Jimmie Allen,"['black americana', 'contemporary country', 'country road', 'modern country rock']"
YG,"['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Megan Moroney,"['contemporary country', 'modern country pop']"
Diddy & Bryson Tiller,"['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap']"
Lewis Capaldi,"['pop', 'uk pop']"
Carly Pearce,"['contemporary country', 'country', 'country road']"
Lil Yachty,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
"Quavo, Takeoff & YoungBoy Never Broke Again","['atl hip hop', 'melodic rap', 'rap', 'trap']"
"Rauw Alejandro, Lyanno & Brray","['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
Lil Baby Featuring Fridayy,"['atl hip hop', 'atl trap', 'rap', 'trap']"
Lil Baby & Nardo Wick,"['atl hip hop', 'atl trap', 'rap', 'trap']"
Lil Baby & Young Thug,"['atl hip hop', 'atl trap', 'rap', 'trap']"
Lil Baby Featuring Future,"['atl hip hop', 'atl trap', 'rap', 'trap']"
Marshmello & Juice WRLD,"['brostep', 'edm', 'pop', 'progressive electro house']"
Lil Baby & Rylo Rodriguez,"['atl hip hop', 'atl trap', 'rap', 'trap']"
Lil Baby Featuring Pooh Shiesty,"['atl hip hop', 'atl trap', 'rap', 'trap']"
Blink-182,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']"
Lil Baby & EST Gee,"['atl hip hop', 'atl trap', 'rap', 'trap']"
Lil Baby Featuring Jeremih,"['atl hip hop', 'atl trap', 'rap', 'trap']"
Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']"
Taylor Swift Featuring Lana Del Rey,['pop']
Shakira + Ozuna,"['colombian pop', 'dance pop', 'latin pop', 'pop']"
Meghan Trainor,"['hip pop', 'pop']"
Oliver Tree & Robin Schulz,['alternative hip hop']
Rihanna,"['barbadian pop', 'pop', 'urban contemporary']"
Michael Jackson,"['r&b', 'soul']"
"Bobby ""Boris"" Pickett And The Crypt-Kickers",['']
Ray Parker Jr.,['theme']
JIN,['k-pop']
Trippie Redd & Don Toliver,"['melodic rap', 'rap', 'trap']"
Drake & 21 Savage,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Drake & 21 Savage Featuring Travis Scott,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
21 Savage,"['atl hip hop', 'hip hop', 'rap']"
Selena Gomez,"['pop', 'post-teen pop']"
Lainey Wilson,"['contemporary country', 'modern country pop']"
Pharrell Williams & Travis Scott,"['dance pop', 'pop']"
Elvis Presley,"['rock-and-roll', 'rockabilly']"
"Metro Boomin, The Weeknd & 21 Savage",['rap']
"Metro Boomin, Future & Chris Brown",['rap']
Metro Boomin Featuring Don Toliver & Future,['rap']
"Metro Boomin, 21 Savage & Young Nudy",['rap']
"Metro Boomin, Travis Scott & 21 Savage",['rap']
Metro Boomin & Travis Scott,['rap']
"Metro Boomin, Travis Scott & Young Thug",['rap']
Metro Boomin & Young Thug,['rap']
Metro Boomin & John Legend,['rap']
Metro Boomin & 21 Savage Featuring Mustafa,['rap']
Metro Boomin Featuring Don Toliver,['rap']
Metro Boomin & Future Featuring Don Toliver,['rap']
Metro Boomin & A$AP Rocky Featuring Takeoff,['rap']
Metro Boomin & Gunna,['rap']
Arcangel & Bad Bunny,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
"Metro Boomin, Travis Scott & Future",['rap']
RM With Youjeen,['k-rap']
Kelly Clarkson & Ariana Grande,"['dance pop', 'pop', 'talent show']"
RAYE Featuring 070 Shake,"['uk contemporary r&b', 'uk pop']"
SZA Featuring Don Toliver,"['pop', 'r&b', 'rap']"
SZA Featuring Phoebe Bridgers,"['pop', 'r&b', 'rap']"
SZA Featuring Travis Scott,"['pop', 'r&b', 'rap']"
SZA Featuring Ol' Dirty Bastard,"['pop', 'r&b', 'rap']"
A Boogie Wit da Hoodie Featuring Kodak Black,"['melodic rap', 'rap', 'trap']"
John & Yoko/The Plastic Ono Band With The Harlem Community Choir,"['classic rock', 'rock']"
Donny Hathaway,"['chicago soul', 'classic soul', 'funk', 'neo soul', 'quiet storm', 'soul', 'southern soul']"
Pentatonix Featuring Meghan Trainor,"['a cappella', 'viral pop']"
Perry Como With Mitchell Ayers And His Orchestra,"['adult standards', 'easy listening']"
Nengo Flow & Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']"
Carin Leon X Grupo Frontera,"['corrido', 'musica mexicana', 'sad sierreno', 'sierreno']"
Fuerza Regida X Grupo Frontera,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
Tory Lanez,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']"
Hotel Ugly,['modern indie pop']
Coi Leray,"['new jersey underground rap', 'trap queen']"
Miguel,"['r&b', 'urban contemporary']"
NewJeans,"['k-pop', 'k-pop girl group']"
Brett Young,"['contemporary country', 'country', 'country road']"
Miley Cyrus,['pop']
Bizarrap & Shakira,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']"
Moneybagg Yo x GloRilla,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
Sabrina Carpenter,['pop']
TAEYANG Featuring Jimin,"['k-pop', 'korean r&b']"
Mac DeMarco,"['edmonton indie', 'lo-fi indie', 'pov: indie', 'slacker rock']"
Gucci Mane & Kodak Black,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Trippie Redd & Juice WRLD,"['melodic rap', 'rap', 'trap']"
HARDY Featuring Morgan Wallen,"['contemporary country', 'modern country pop']"
Tiesto Featuring Tate McRae,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']"
Kali Uchis,['colombian pop']
Ice Spice & Lil Tjay,['bronx drill']
TWICE,"['k-pop', 'k-pop girl group', 'pop']"
"Trippie Redd, Future & Lil Baby","['melodic rap', 'rap', 'trap']"
Trippie Redd & Travis Scott,"['melodic rap', 'rap', 'trap']"
"Gabito Ballesteros, Peso Pluma & Natanael Cano","['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']"
NLE Choppa & 2Rare,"['memphis hip hop', 'rap']"
Finesse2Tymes,['memphis hip hop']
ThxSoMch,['bedroom r&b']
Zach Bryan Featuring Maggie Rogers,['classic oklahoma country']
Junior H X Oscar Maydon,['corrido']
Ozuna Featuring Feid,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
P!nk,"['dance pop', 'pop']"
PinkPantheress & Ice Spice,['bedroom pop']
Karol G x Romeo Santos,"['reggaeton', 'reggaeton colombiano', 'urbano latino']"
Peso Pluma X Natanael Cano,"['corridos tumbados', 'sad sierreno']"
Falling In Reverse,"['alternative metal', 'rap metal']"
Ice Spice,['bronx drill']
Yandel & Feid,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
Rihanna Featuring Jay-Z,"['barbadian pop', 'pop', 'urban contemporary']"
Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']"
Rihanna Featuring Calvin Harris,"['barbadian pop', 'pop', 'urban contemporary']"
Lizzo Featuring SZA,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']"
Superstar Pride,['southern hip hop']
NF,"['hip hop', 'pop rap']"
Toosii,['north carolina hip hop']
Niall Horan,['pop']
Polo G & Future,"['chicago rap', 'rap']"
Lizzy McAlpine,"['alt z', 'boston folk', 'indie pop', 'singer-songwriter pop']"
Latto Featuring LU KALA,['trap queen']
Dierks Bentley,"['contemporary country', 'country', 'country road']"
Karol G x Shakira,"['reggaeton', 'reggaeton colombiano', 'urbano latino']"
Lil Wayne Featuring DMX,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
Don Toliver Featuring Justin Bieber & Future,['rap']
Karol G & Ovy On The Drums,"['reggaeton', 'reggaeton colombiano', 'urbano latino']"
Yeat Featuring YoungBoy Never Broke Again,"['pluggnb', 'rage rap']"
Karol G & Quevedo,"['reggaeton', 'reggaeton colombiano', 'urbano latino']"
"Karol G, Justin Quiles & Angel Dior","['reggaeton', 'reggaeton colombiano', 'urbano latino']"
Karol G & Carla Morrison,"['reggaeton', 'reggaeton colombiano', 'urbano latino']"
Morgan Wallen Featuring Eric Church,['contemporary country']
Morgan Wallen Featuring ERNEST,['contemporary country']
Morgan Wallen Featuring HARDY,['contemporary country']
j-hope With J. Cole,"['k-pop', 'k-rap']"
Miley Cyrus Featuring Brandi Carlile,['pop']
Peso Pluma,"['corridos tumbados', 'sad sierreno']"
Eslabon Armado X Peso Pluma,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
Jimin,['k-pop']
Hozier,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']"
Yng Lvcas x Peso Pluma,"['reggaeton', 'urbano mexicano']"
Chino Pacas,['corrido']
Eladio Carrion & Bad Bunny,"['trap boricua', 'trap latino', 'trap triste', 'urbano latino']"
Coco Jones,['pop r&b']
Melanie Martinez,"['alt z', 'electropop', 'pop']"
Russ,"['hawaiian hip hop', 'pop rap']"
Fifty Fifty,['k-pop girl group']
Rosalia & Rauw Alejandro,"['pop', 'r&b en espanol']"
Lola Brooke X Latto X Yung Miami Or Featuring Billy B,['trap queen']
"Tyler, The Creator","['hip hop', 'rap']"
Fuerza Regida X Natanael Cano,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
Old Dominion,"['contemporary country', 'country', 'country road', 'modern country rock']"
"Tyler, The Creator Featuring A$AP Rocky","['hip hop', 'rap']"
Kanii,"['bedroom r&b', 'krushclub', 'sped up']"
Nardo Wick Featuring Lil Baby,"['florida drill', 'florida rap', 'southern hip hop']"
Jack Black,"['comedy rock', 'comic']"
NF & Cordae,"['hip hop', 'pop rap']"
Junior H x Peso Pluma,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']"
Labrinth,"['indie poptimism', 'pop']"
YoungBoy Never Broke Again Featuring Nicki Minaj,"['baton rouge rap', 'rap']"
Ice Spice & Nicki Minaj,['bronx drill']
Grupo Frontera X Bad Bunny,['musica chihuahuense']
David Kushner,"['gen z singer-songwriter', 'singer-songwriter pop']"
"Tyler, The Creator Featuring Kali Uchis","['hip hop', 'rap']"
Becky G & Peso Pluma,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']"
Fuerza Regida & Peso Pluma,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
Grupo Marca Registrada X Grupo Frontera,"['corrido', 'norteno', 'sad sierreno']"
The Weeknd Featuring Future,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Kim Petras Featuring Nicki Minaj,"['alt z', 'dance pop', 'pop', 'transpop']"
Agust D,['k-rap']
Yahritza y Su Esencia x Grupo Frontera,['sad sierreno']
Jonas Brothers,"['boy band', 'pop']"
Libianca,['afrobeats']
Kali,"['rap', 'viral rap']"
"Anuel AA, Mambo Kingz & DJ Luian","['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']"
Justin Moore & Priscilla Block,"['arkansas country', 'contemporary country', 'country', 'country road']"
Lil Mabu,['']
DaBaby,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']"
Doechii Featuring Kodak Black,['alternative r&b']
Lil Durk Featuring J. Cole,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']"
Ed Sheeran Featuring Luke Combs,"['pop', 'singer-songwriter pop', 'uk pop']"
Shakira,"['colombian pop', 'dance pop', 'latin pop', 'pop']"
Hailey Whitters,"['contemporary country', 'country pop', 'modern country pop']"
Fuerza Regida,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
Beyonce Featuring Kendrick Lamar,"['pop', 'r&b']"
Lana Del Rey,"['art pop', 'pop']"
Summer Walker & J. Cole,"['r&b', 'rap']"
"Kodak Black, NLE Choppa, Jimin, JVKE & Muni Long","['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']"
"David Guetta, Anne-Marie & Coi Leray","['big room', 'dance pop', 'edm', 'pop', 'pop dance']"
Taylor Swift Featuring Ice Spice,['pop']
Lil Durk Featuring 21 Savage,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']"
Sexyy Red & Tay Keith & Nicki Minaj,['trap queen']
Lil Durk & Chief Wuk,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']"
Lil Durk Featuring Juice WRLD,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']"
Lil Durk Featuring Kodak Black,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']"
Latto Featuring Cardi B,['trap queen']
Bizarrap & Peso Pluma,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']"
"Metro Boomin, Swae Lee & NAV Featuring A Boogie Wit da Hoodie",['rap']
"The Weeknd, Playboi Carti & Madonna","['canadian contemporary r&b', 'canadian pop', 'pop']"
"Metro Boomin, Swae Lee, Lil Wayne & Offset",['rap']
"Metro Boomin, A$AP Rocky & Roisee",['rap']
Moneybagg Yo Featuring Future,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
"Metro Boomin, Future & Lil Uzi Vert",['rap']
Metro Boomin & Coi Leray,['rap']
Jelly Roll With Lainey Wilson,"['country rap', 'modern country pop', 'nashville hip hop', 'tennessee hip hop']"
Metro Boomin & James Blake,['rap']
Young Nudy Featuring 21 Savage,"['pluggnb', 'rap', 'southern hip hop', 'trap']"
Offset & JID,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
Noah Kahan,"['pov: indie', 'singer-songwriter pop']"
El Alfa x Peso Pluma,"['dembow', 'rap dominicano', 'trap latino', 'urbano latino']"
Feid x Young Miko,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Gucci Mane & Lil Baby,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Nicki Minaj & Ice Spice With Aqua,"['hip pop', 'pop', 'queens hip hop', 'rap']"
Young Thug Featuring Drake,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']"
Peso Pluma & Junior H,"['corridos tumbados', 'sad sierreno']"
"Peso Pluma, Gabito Ballesteros & Junior H","['corridos tumbados', 'sad sierreno']"
Young Thug Featuring Future,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']"
"Peso Pluma, Edgardo Nunez & Los Dareyes de La Sierra","['corridos tumbados', 'sad sierreno']"
"Young Thug Featuring 21 Savage, Travis Scott & Yak Gotti","['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']"
Juice WRLD & Cordae,['']
Young Thug Featuring 21 Savage,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']"
Young Thug Featuring Lil Uzi Vert,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']"
Young Thug,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']"
Peso Pluma & Jasiel Nunez,"['corridos tumbados', 'sad sierreno']"
Young Thug Featuring Travis Scott,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']"
Lil Uzi Vert Featuring Nicki Minaj,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']"
Lil Uzi Vert Featuring Travis Scott,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']"
Peso Pluma & Grupo Frontera,"['corridos tumbados', 'sad sierreno']"
Kaliii,"['rap', 'viral rap']"
Tainy & Bad Bunny,"['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']"
Lil Uzi Vert Featuring Don Toliver,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']"
Lil Uzi Vert Featuring Bring Me The Horizon,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']"
Fall Out Boy,"['emo', 'modern rock', 'pop', 'rock']"
Taylor Swift Featuring Hayley Williams,['pop']
Taylor Swift Featuring Fall Out Boy,['pop']
FendiDa Rappa With Cardi B,['']
Myke Towers,"['reggaeton', 'trap latino', 'urbano latino']"
Jung Kook Featuring Latto,['k-pop']
Troye Sivan,"['australian pop', 'pop', 'viral pop']"
Quavo & Future,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
Ryan Castro x Pe$o Pluma,"['reggaeton', 'trap colombiano', 'trap latino', 'urbano latino']"
Rylo Rodriguez Featuring NoCap,"['alabama rap', 'atl trap', 'tennessee hip hop']"
"That Mexican OT, Paul Wall & DRODi",['texas latin rap']
"Travis Scott, Bad Bunny & The Weeknd","['rap', 'slap house']"
Noah Kahan With Post Malone,"['pov: indie', 'singer-songwriter pop']"
"Diplo, Jessie Murph & Polo G","['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']"
Charli XCX,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']"
Ryan Gosling,['hollywood']
Burna Boy & Byron Messia,"['afrobeats', 'dancehall', 'nigerian hip hop', 'nigerian pop']"
Rylo Rodriguez,"['alabama rap', 'atl trap', 'tennessee hip hop']"
Travis Scott Featuring Drake,"['rap', 'slap house']"
Travis Scott Featuring Playboi Carti,"['rap', 'slap house']"
Travis Scott,"['rap', 'slap house']"
Travis Scott Featuring Rob49 & 21 Savage,"['rap', 'slap house']"
Travis Scott Featuring Teezo Touchdown,"['rap', 'slap house']"
Travis Scott & Beyonce,"['rap', 'slap house']"
Travis Scott Featuring SZA & Future,"['rap', 'slap house']"
Travis Scott Featuring Young Thug,"['rap', 'slap house']"
Travis Scott Featuring The Weeknd & Swae Lee,"['rap', 'slap house']"
Travis Scott Featuring James Blake & 21 Savage,"['rap', 'slap house']"
Tyler Childers,"['kentucky indie', 'kentucky roots', 'outlaw country']"
Travis Scott Featuring Westside Gunn,"['rap', 'slap house']"
Travis Scott Featuring Kid Cudi,"['rap', 'slap house']"
Travis Scott Featuring Yung Lean & Dave Chappelle,"['rap', 'slap house']"
Offset & Cardi B,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
Drake & Central Cee,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Ivan Cornejo,['sad sierreno']
"Usher, Summer Walker & 21 Savage","['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']"
Grupo Frontera & Grupo Firme,['musica chihuahuense']
Oliver Anthony Music,['modern country pop']
Karol G & Peso Pluma,"['reggaeton', 'reggaeton colombiano', 'urbano latino']"
"DJ Khaled, Lil Baby, Future & Lil Uzi Vert","['hip hop', 'miami hip hop', 'pop rap', 'rap']"
"Karol G, Cris Mj & Ryan Castro",['']
Warren Zeiders,['modern country pop']
Dominic Fike,"['alternative pop rock', 'pov: indie']"
Teddy Swims,['']
Zach Bryan Featuring Kacey Musgraves,['classic oklahoma country']
Zach Bryan Featuring The War And Treaty,['classic oklahoma country']
Zach Bryan Featuring The Lumineers,['classic oklahoma country']
Zach Bryan Featuring Sierra Ferrell,['classic oklahoma country']
Gucci Mane Featuring J. Cole & Mike WiLL Made-It,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Carin Leon,"['corrido', 'musica mexicana', 'sad sierreno', 'sierreno']"
Victoria Monet,"['alternative r&b', 'r&b']"
Jimmy Buffett,['trop rock']
Calle 24 x Chino Pacas x Fuerza Regida,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
Sexyy Red,['trap queen']
"Timbaland, Nelly Furtado & Justin Timberlake","['dance pop', 'pop', 'pop rap']"
Cardi B & Megan Thee Stallion,"['pop', 'rap']"
Peso Pluma x Jasiel Nunez x Junior H,"['corridos tumbados', 'sad sierreno']"
Drake Featuring SZA,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Rod Wave Featuring 21 Savage,['florida rap']
Rod Wave & Wet,['florida rap']
Rod Wave & Sadie Jean,['florida rap']
"Diddy, French Montana & The Weeknd Featuring 21 Savage","['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap']"
Kenya Grace,['singer-songwriter pop']
Paul Russell,['indie r&b']
Zach Bryan Featuring Noah Kahan,['classic oklahoma country']
Zach Bryan Featuring Bon Iver,['classic oklahoma country']
Shakira X Fuerza Regida,"['colombian pop', 'dance pop', 'latin pop', 'pop']"
Lil Tecca,"['melodic rap', 'pluggnb', 'rap']"
Mitski,"['brooklyn indie', 'pov: indie']"
Maluma & Carin Leon,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Lil Tecca & Kodak Black,"['melodic rap', 'pluggnb', 'rap']"
Jung Kook & Jack Harlow,['k-pop']
*NSYNC,"['boy band', 'dance pop', 'pop']"
Thomas Rhett Featuring Morgan Wallen,"['contemporary country', 'country', 'country road', 'modern country rock']"
Tyla,['']
Rick Ross & Meek Mill,"['dirty south rap', 'gangster rap', 'hip hop', 'rap', 'southern hip hop', 'trap']"
Dustin Lynch,"['contemporary country', 'country', 'country road', 'modern country rock']"
Lil Yachty & J. Cole,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
Drake Featuring J. Cole,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Drake Featuring Yeat,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Drake Featuring Sexyy Red & SZA,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Drake Featuring Bad Bunny,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Drake Featuring Teezo Touchdown,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Drake Featuring PARTYNEXTDOOR,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Drake Featuring Chief Keef,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Drake Featuring Lil Yachty,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Jessie Murph & Jelly Roll,"['modern country pop', 'singer-songwriter pop']"
Noah Kahan With Kacey Musgraves,"['pov: indie', 'singer-songwriter pop']"
Junior H,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']"
Bad Bunny & Young Miko,"['reggaeton', 'trap latino', 'urbano latino']"
Bad Bunny & Feid,"['reggaeton', 'trap latino', 'urbano latino']"
Bad Bunny & Mora,"['reggaeton', 'trap latino', 'urbano latino']"
Bad Bunny & Luar La L,"['reggaeton', 'trap latino', 'urbano latino']"
Bad Bunny & Bryant Myers,"['reggaeton', 'trap latino', 'urbano latino']"
Offset Featuring Travis Scott,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
Bad Bunny & YOVNGCHIMI,"['reggaeton', 'trap latino', 'urbano latino']"
Bad Bunny & Eladio Carrion,"['reggaeton', 'trap latino', 'urbano latino']"
"Bad Bunny, Arcangel, De La Ghetto & Nengo Flow","['reggaeton', 'trap latino', 'urbano latino']"
Offset & Don Toliver,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
"The Kid LAROI, Jung Kook & Central Cee",['australian hip hop']
blink-182,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']"
The Citizens of Halloween,['']
Lil Mabu & chriseanrock,['']
