artist,genres...
Wale Featuring J. Cole,"['pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']"
Emmy Meli,['alt z']
Ari Lennox,['alternative r&b']
"Dierks Bentley, Breland & HARDY","['contemporary country', 'country', 'country road']"
Sam Hunt,"['contemporary country', 'country', 'country pop', 'modern country rock']"
Dua Lipa,"['dance pop', 'pop', 'uk pop']"
The Weeknd & Ariana Grande,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Jason Aldean & Carrie Underwood,"['contemporary country', 'country', 'country road', 'modern country rock']"
Maneskin,"['indie rock italiano', 'italian pop']"
Farruko,"['reggaeton', 'trap latino', 'urbano latino']"
Ryan Hurd With Maren Morris,"['contemporary country', 'country pop', 'country road', 'modern country rock']"
"Stephanie Beatriz, Olga Merediz & Encanto Cast","['hollywood', 'movie tunes']"
Diane Guerrero & Stephanie Beatriz,['movie tunes']
ERNEST Featuring Morgan Wallen,['modern country pop']
Lauren Spencer-Smith,"['alt z', 'gen z singer-songwriter', 'singer-songwriter pop']"
Stephanie Beatriz,"['hollywood', 'movie tunes']"
Sebastian Yatra,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']"
Gunna & Future,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
Drake Featuring Travis Scott,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Aventura x Bad Bunny,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']"
H.E.R. Featuring Chris Brown,"['r&b', 'rap']"
Russell Dickerson,"['contemporary country', 'country', 'country road', 'modern country rock']"
Blake Shelton,"['classic oklahoma country', 'contemporary country', 'country', 'country road']"
YoungBoy Never Broke Again & Birdman,"['baton rouge rap', 'rap']"
"Yung Bleu, Chris Brown & 2 Chainz","['alabama rap', 'trap']"
Swedish House Mafia & The Weeknd,"['edm', 'pop dance', 'progressive electro house']"
"Nardo Wick, Lil Baby & Future","['florida drill', 'florida rap', 'southern hip hop']"
The Walters,"['chicago indie', 'pov: indie']"
Polo G,"['chicago rap', 'rap']"
Carly Pearce & Ashley McBryde,"['contemporary country', 'country', 'country road']"
Priscilla Block,"['contemporary country', 'modern country pop']"
Gunna & Future Featuring Young Thug,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Gunna & 21 Savage,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
Gunna Featuring Lil Baby,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
Gunna Featuring Young Thug,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
Gunna Featuring Kodak Black,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
"The Weeknd Featuring Tyler, The Creator","['canadian contemporary r&b', 'canadian pop', 'pop']"
Gunna Featuring G Herbo,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
The Weeknd Featuring Lil Wayne,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Maren Morris,"['classic texas country', 'contemporary country']"
Gunna & Chloe,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
Gunna & Chris Brown Featuring Yung Bleu,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
Gunna Featuring Drake,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
The Game & Kanye West,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
YoungBoy Never Broke Again,"['baton rouge rap', 'rap']"
Chris Brown,"['r&b', 'rap']"
Cole Swindell / Lainey Wilson,"['contemporary country', 'country', 'country road', 'modern country rock']"
Jason Aldean,"['contemporary country', 'country', 'country road', 'modern country rock']"
JID Featuring 21 Savage & Baby Tate,"['hip hop', 'pop rap', 'rap', 'underground hip hop']"
"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast","['hollywood', 'movie tunes']"
Charlie Puth,"['pop', 'viral pop']"
Internet Money Featuring YoungBoy Never Broke Again,"['pop rap', 'trap']"
Key Glock,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
Yung Bleu & Kehlani,"['alabama rap', 'trap']"
Gucci Mane Featuring Lil Durk,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
The Chainsmokers,['pop']
Benny The Butcher & J. Cole,"['alternative hip hop', 'boom bap', 'buffalo hip hop', 'hip hop', 'upstate ny rap']"
Fireboy DML & Ed Sheeran,"['afrobeats', 'nigerian pop']"
Miranda Lambert,"['contemporary country', 'country', 'country dawn', 'country road']"
NLE Choppa,"['memphis hip hop', 'rap']"
XXXTENTACION,"['emo rap', 'miami hip hop', 'rap']"
Em Beihold,"['alt z', 'gen z singer-songwriter']"
Jaymes Young,['indie poptimism']
Tiesto & Ava Max,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']"
Megan Thee Stallion,"['houston rap', 'pop', 'rap', 'trap queen']"
Carlos Vives,"['colombian pop', 'latin pop', 'vallenato']"
Nicki Minaj X Lil Baby,"['hip pop', 'pop', 'queens hip hop', 'rap']"
King Von & 21 Savage,"['chicago rap', 'rap']"
Tate McRae,['pop']
YG Featuring J. Cole & Moneybagg Yo,"['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Machine Gun Kelly & WILLOW,"['ohio hip hop', 'pop rap']"
Red Hot Chili Peppers,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
$NOT & A$AP Rocky,"['cloud rap', 'florida rap', 'underground hip hop']"
Queen Naija & Big Sean,"['pop r&b', 'r&b']"
Alesso / Katy Perry,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']"
Becky G X Karol G,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']"
Ed Sheeran Featuring Taylor Swift,"['pop', 'singer-songwriter pop', 'uk pop']"
Dr. Dre Featuring Snoop Dogg,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
Future,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
Eminem,"['detroit hip hop', 'hip hop', 'rap']"
"Fivio Foreign, Kanye West & Alicia Keys","['brooklyn drill', 'new york drill', 'rap', 'trap']"
"Dierks Bentley, BRELAND & HARDY","['contemporary country', 'country', 'country road']"
Dove Cameron,['pop']
Mary J. Blige,"['dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']"
Saweetie Featuring H.E.R.,"['cali rap', 'trap queen']"
Jung Kook,['k-pop']
Jack Harlow,"['deep underground hip hop', 'hip hop', 'kentucky hip hop', 'pop rap', 'rap']"
Lil Durk,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']"
Yeat,"['pluggnb', 'rage rap']"
Jessie Murph,"['modern country pop', 'singer-songwriter pop']"
HARDY,"['contemporary country', 'modern country pop']"
Tyga X Doja Cat,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Labrinth & Zendaya,"['indie poptimism', 'pop']"
Thomas Rhett,"['contemporary country', 'country', 'country road', 'modern country rock']"
JNR CHOI & Sam Tompkins,['gambian hip hop']
Lil Shordie Scott,['viral rap']
Camila Cabello Featuring Ed Sheeran,"['dance pop', 'pop']"
Elle King & Miranda Lambert,['modern blues rock']
Russ Featuring Ktlyn,"['hawaiian hip hop', 'pop rap']"
Gucci Mane,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
King Von,"['chicago rap', 'rap']"
Machine Gun Kelly & Lil Wayne,"['ohio hip hop', 'pop rap']"
