title,artist,genres...
All I Want For Christmas Is You,Mariah Carey,dance pop,pop,urban contemporary
Rockin' Around The Christmas Tree,Brenda Lee,adult standards,easy listening,lounge,rockabilly
Jingle Bell Rock,Bobby Helms,
A Holly Jolly Christmas,Burl Ives,adult standards,american folk revival
Easy On Me,Adele,british soul,pop,pop soul,uk pop
It's The Most Wonderful Time Of The Year,Andy Williams,adult standards,easy listening
Last Christmas,Wham!,new romantic,new wave,new wave pop,soft rock
Feliz Navidad,Jose Feliciano,latin pop,puerto rican pop
Stay,The Kid LAROI & Justin Bieber,australian hip hop
Sleigh Ride,The Ronettes,brill building pop,classic girl group,motown,rock-and-roll
The Christmas Song (Merry Christmas To You),Nat King Cole,adult standards,easy listening,lounge,soul,swing,vocal jazz
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,adult standards,easy listening,lounge,vocal jazz
Underneath The Tree,Kelly Clarkson,dance pop,pop,talent show
Broadway Girls,Lil Durk Featuring Morgan Wallen,chicago drill,chicago rap,drill,hip hop,pop rap,rap,trap
Heat Waves,Glass Animals,gauze pop,indietronica,modern rock,pov: indie,shiver pop
Christmas (Baby Please Come Home),Darlene Love,
It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,adult standards,easy listening
Santa Tell Me,Ariana Grande,pop
Rudolph The Red-Nosed Reindeer,Gene Autry,classic oklahoma country,cowboy western,traditional country,yodeling
Happy Holiday / The Holiday Season,Andy Williams,adult standards,easy listening
White Christmas,Bing Crosby,adult standards,easy listening,lounge,swing
Industry Baby,Lil Nas X & Jack Harlow,lgbtq+ hip hop
Shivers,Ed Sheeran,pop,singer-songwriter pop,uk pop
Need To Know,Doja Cat,dance pop,pop
Run Rudolph Run,Chuck Berry,blues,blues rock,classic rock,rock,rock-and-roll,rockabilly,soul
Super Gremlin,Kodak Black,florida drill,florida rap,melodic rap,miami hip hop,rap,trap,trap latino
abcdefu,GAYLE,alt z,modern alternative pop
(There's No Place Like) Home For The Holidays,Perry Como,adult standards,easy listening
Cold Heart (PNAU Remix),Elton John & Dua Lipa,
It's Beginning To Look A Lot Like Christmas,Michael Buble,adult standards,canadian pop,jazz pop,lounge
Bad Habits,Ed Sheeran,pop,singer-songwriter pop,uk pop
Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),dance pop,pop
Jingle Bells,Frank Sinatra,adult standards,easy listening,lounge
"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,movie tunes
Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,torch song,vocal jazz
Wonderful Christmastime,Paul McCartney,classic rock,mellow gold,rock,soft rock
Linus & Lucy,Vince Guaraldi Trio,jazz trio
Good 4 U,Olivia Rodrigo,pop
Ghost,Justin Bieber,canadian pop,pop
Please Come Home For Christmas,Eagles,album rock,classic rock,heartland rock,mellow gold,rock,soft rock,yacht rock
Santa Claus Is Comin' To Town,Jackson 5,motown,soul
I Hate U,SZA,pop,r&b,rap
Little Saint Nick,The Beach Boys,baroque pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,singer-songwriter,sunshine pop
Mistletoe,Justin Bieber,canadian pop,pop
Fancy Like,Walker Hayes,contemporary country,country,country road,modern country rock
Deck The Halls,Nat King Cole,adult standards,easy listening,lounge,soul,swing,vocal jazz
Have Yourself A Merry Little Christmas,Michael Buble,adult standards,canadian pop,jazz pop,lounge
Christmastime Is Here,Vince Guaraldi Trio,jazz trio
Thats What I Want,Lil Nas X,lgbtq+ hip hop
One Right Now,Post Malone & The Weeknd,dfw rap,melodic rap,pop,rap
Happier Than Ever,Billie Eilish,art pop,pop
